season,week,home_id,away_id,home_score,away_score,home_win
2002,1,19,25,13,16,0
2002,1,2,20,31,37,0
2002,1,3,16,27,23,1
2002,1,4,24,6,34,0
2002,1,5,12,39,40,0
2002,1,9,1,37,34,1
2002,1,10,21,27,24,1
2002,1,15,8,49,21,1
2002,1,28,22,31,23,1
2002,1,29,33,10,7,1
2002,1,30,11,25,28,0
2002,1,7,14,23,16,1
2002,1,13,26,31,17,1
2002,1,27,18,20,26,0
2002,1,34,6,19,10,1
2002,1,17,23,30,14,1
2002,2,1,3,13,14,0
2002,2,5,4,20,7,1
2002,2,6,10,21,13,1
2002,2,11,15,13,21,0
2002,2,12,30,16,23,0
2002,2,18,9,35,20,1
2002,2,20,17,7,44,0
2002,2,29,8,31,7,1
2002,2,33,27,0,25,0
2002,2,14,19,21,26,0
2002,2,26,22,13,24,0
2002,2,16,2,39,45,0
2002,2,24,34,24,3,1
2002,2,25,7,14,24,0
2002,2,23,13,17,30,0
2002,2,28,21,7,37,0
2002,3,3,18,23,29,0
2002,3,10,5,28,31,0
2002,3,15,20,30,3,1
2002,3,16,29,14,21,0
2002,3,17,12,41,38,1
2002,3,21,6,44,13,1
2002,3,34,11,3,23,0
2002,3,7,2,28,23,1
2002,3,22,24,15,23,0
2002,3,8,9,31,37,0
2002,3,19,26,9,6,1
2002,3,25,28,20,10,1
2002,3,1,4,30,3,1
2002,3,27,14,26,14,1
2002,4,2,3,33,27,1
2002,4,8,18,26,21,1
2002,4,9,29,17,14,1
2002,4,12,15,48,30,1
2002,4,14,6,10,13,0
2002,4,21,34,35,17,1
2002,4,23,5,16,13,1
2002,4,30,20,28,3,1
2002,4,4,27,7,35,0
2002,4,22,19,21,7,1
2002,4,13,10,52,25,1
2002,4,24,17,21,14,1
2002,4,26,16,48,23,1
2002,4,33,7,34,23,1
2002,5,1,27,6,20,0
2002,5,2,13,31,49,0
2002,5,6,19,17,21,0
2002,5,10,28,14,31,0
2002,5,11,4,28,21,1
2002,5,15,17,26,13,1
2002,5,18,23,32,29,1
2002,5,29,22,13,16,0
2002,5,7,24,26,9,1
2002,5,20,12,25,29,0
2002,5,25,14,37,13,1
2002,5,30,21,28,25,1
2002,5,5,33,21,26,0
2002,5,3,9,21,34,0
2002,6,4,23,7,34,0
2002,6,6,29,14,13,1
2002,6,11,33,22,20,1
2002,6,16,8,31,24,1
2002,6,17,9,10,28,0
2002,6,19,1,10,17,0
2002,6,27,5,17,3,1
2002,6,28,18,27,43,0
2002,6,34,2,24,31,0
2002,6,10,30,23,14,1
2002,6,14,13,28,13,1
2002,6,24,12,35,34,1
2002,6,7,15,22,24,0
2002,6,26,25,21,28,0
2002,7,1,29,30,0,1
2002,7,8,3,23,20,1
2002,7,12,7,34,37,0
2002,7,14,26,37,20,1
2002,7,15,2,10,23,0
2002,7,18,25,35,27,1
2002,7,20,16,20,7,1
2002,7,33,30,17,10,1
2002,7,5,34,34,17,1
2002,7,13,24,21,27,0
2002,7,9,28,30,9,1
2002,7,21,27,20,10,1
2002,7,22,6,9,6,1
2002,7,23,11,28,10,1
2002,8,2,8,24,17,1
2002,8,4,10,24,30,0
2002,8,6,26,14,17,0
2002,8,12,13,20,10,1
2002,8,16,3,25,7,1
2002,8,18,1,35,37,0
2002,8,20,5,21,24,0
2002,8,29,27,9,12,0
2002,8,33,23,18,31,0
2002,8,25,22,38,28,1
2002,8,17,7,16,24,0
2002,8,30,34,19,21,0
2002,8,28,11,26,21,1
2002,8,21,19,17,3,1
2002,9,1,33,20,17,1
2002,9,2,17,7,38,0
2002,9,3,21,13,19,0
2002,9,5,23,20,23,0
2002,9,8,6,9,7,1
2002,9,11,10,15,23,0
2002,9,27,16,38,24,1
2002,9,34,4,3,38,0
2002,9,24,20,13,44,0
2002,9,13,25,20,23,0
2002,9,22,14,14,27,0
2002,9,26,28,3,14,0
2002,9,19,30,24,17,1
2002,9,9,15,24,10,1
2002,10,9,8,40,14,1
2002,10,10,34,17,10,1
2002,10,14,24,28,24,1
2002,10,16,19,20,27,0
2002,10,21,11,13,35,0
2002,10,23,1,34,34,0
2002,10,29,18,24,34,0
2002,10,33,4,38,27,1
2002,10,22,26,6,27,0
2002,10,30,28,26,7,1
2002,10,3,17,30,33,0
2002,10,25,12,17,13,1
2002,10,20,15,13,10,1
2002,10,7,13,10,34,0
2002,11,1,18,24,17,1
2002,11,4,5,20,27,0
2002,11,10,23,31,23,1
2002,11,11,6,20,3,1
2002,11,12,2,17,16,1
2002,11,16,9,31,21,1
2002,11,19,28,19,17,1
2002,11,21,22,38,14,1
2002,11,34,30,21,24,0
2002,11,24,25,20,17,1
2002,11,27,29,23,10,1
2002,11,8,20,14,31,0
2002,11,15,33,26,7,1
2002,11,26,7,9,31,0
2002,11,13,17,27,20,1
2002,11,14,3,21,16,1
2002,12,3,8,20,17,1
2002,12,6,30,21,19,1
2002,12,15,24,30,3,1
2002,12,17,16,24,17,1
2002,12,18,5,15,24,0
2002,12,20,2,31,13,1
2002,12,23,4,29,21,1
2002,12,28,14,20,17,1
2002,12,29,1,0,41,0
2002,12,33,10,13,12,1
2002,12,22,13,20,41,0
2002,12,26,12,39,32,1
2002,12,27,9,21,7,1
2002,12,34,19,16,14,1
2002,12,7,11,20,23,0
2002,12,25,21,17,38,0
2002,13,8,17,12,20,0
2002,13,6,28,27,20,1
2002,13,2,15,38,21,1
2002,13,4,33,23,27,0
2002,13,5,29,6,13,0
2002,13,9,3,30,20,1
2002,13,12,22,49,0,1
2002,13,16,1,24,30,0
2002,13,19,10,29,32,0
2002,13,30,23,23,25,0
2002,13,11,34,19,3,1
2002,13,24,7,30,27,1
2002,13,21,14,10,3,1
2002,13,25,26,31,24,1
2002,13,18,27,23,20,1
2002,13,13,20,26,20,1
2002,14,6,25,27,31,0
2002,14,10,11,27,17,1
2002,14,12,14,49,10,1
2002,14,17,2,27,17,1
2002,14,23,34,6,24,0
2002,14,27,1,34,10,1
2002,14,28,19,21,27,0
2002,14,29,4,52,31,1
2002,14,30,5,20,21,0
2002,14,22,8,23,20,1
2002,14,26,21,20,27,0
2002,14,33,18,25,37,0
2002,14,20,7,19,13,1
2002,14,24,13,7,27,0
2002,14,9,16,26,22,1
2002,14,15,3,27,9,1
2002,15,1,26,24,30,0
2002,15,2,24,20,13,1
2002,15,3,20,20,13,1
2002,15,4,30,15,29,0
2002,15,5,11,23,28,0
2002,15,8,27,20,23,0
