season,week,home_id,away_id,home_score,away_score,home_turnovers,away_turnovers,home_win
2015,1,17,23,28,21,0,1,1
2015,1,2,11,27,14,0,3,1
2015,1,3,9,23,31,1,0,0
2015,1,14,26,34,31,3,1,1
2015,1,20,5,31,10,1,5,1
2015,1,28,15,10,17,2,1,0
2015,1,30,29,9,20,3,1,0
2015,1,34,12,20,27,2,0,0
2015,1,22,18,31,19,1,1,1
2015,1,24,8,33,28,3,2,1
2015,1,7,33,19,13,1,2,1
2015,1,13,4,13,33,2,0,0
2015,1,27,10,14,42,2,1,0
2015,1,6,19,27,26,3,0,1
2015,1,1,21,26,24,2,2,1
2015,1,25,16,20,3,1,1,1
2015,2,12,7,24,31,5,1,0
2015,2,2,17,32,40,3,2,0
2015,2,3,22,23,48,2,2,0
2015,2,4,24,24,19,2,3,1
2015,2,5,10,28,14,0,3,1
2015,2,16,8,26,16,1,3,1
2015,2,18,27,19,26,3,2,0
2015,2,19,1,20,24,1,0,0
2015,2,23,25,43,18,0,1,1
2015,2,28,14,24,10,1,0,1
2015,2,29,34,24,17,1,1,1
2015,2,13,33,37,33,1,2,1
2015,2,30,15,23,20,0,0,1
2015,2,21,6,10,20,3,2,0
2015,2,9,26,27,17,1,2,1
2015,2,11,20,7,20,5,1,0
2015,3,19,28,32,21,0,3,1
2015,3,5,13,20,27,2,1,0
2015,3,6,1,28,39,1,0,0
2015,3,10,11,33,35,2,2,0
2015,3,14,23,6,12,1,1,0
2015,3,16,24,31,14,1,2,1
2015,3,17,30,51,17,0,1,1
2015,3,20,21,17,24,4,1,0
2015,3,29,18,27,22,0,2,1
2015,3,33,4,24,28,1,2,0
2015,3,34,27,19,9,1,1,1
2015,3,22,25,47,7,1,4,1
2015,3,15,2,14,41,3,0,0
2015,3,26,3,26,0,0,0,1
2015,3,8,7,12,24,3,2,0
2015,3,9,12,38,28,0,1,1
2015,4,23,33,20,23,0,2,0
2015,4,15,20,14,27,2,1,0
2015,4,1,34,48,21,0,4,1
2015,4,2,19,10,24,2,1,0
2015,4,3,13,22,20,3,2,1
2015,4,4,12,36,21,0,1,1
2015,4,11,30,16,13,2,0,1
2015,4,27,29,23,37,5,1,0
2015,4,28,21,23,20,1,2,1
2015,4,24,5,30,27,0,1,1
2015,4,7,16,23,20,2,1,1
2015,4,22,14,22,24,3,0,0
2015,4,25,9,3,17,1,0,0
2015,4,18,6,26,20,0,0,1
2015,4,26,8,13,10,3,1,1
2015,5,34,11,20,27,2,0,0
2015,5,1,28,25,19,3,2,1
2015,5,4,26,27,24,2,1,1
2015,5,9,14,24,10,3,4,1
2015,5,10,2,13,14,1,1,0
2015,5,12,3,17,18,0,1,0
2015,5,21,18,39,17,2,4,1
2015,5,27,30,38,31,0,2,1
2015,5,33,5,30,33,0,0,0
2015,5,8,22,17,42,6,0,0
2015,5,6,17,6,30,2,0,0
2015,5,13,7,10,16,3,2,0
2015,5,19,25,30,27,1,0,1
2015,5,24,23,20,24,2,1,0
2015,6,18,1,31,21,0,3,1
2015,6,2,4,21,34,1,0,0
2015,6,5,7,23,26,3,3,0
2015,6,8,3,37,34,3,1,1
2015,6,10,15,10,38,4,2,0
2015,6,16,12,16,10,2,1,1
2015,6,20,28,34,20,3,2,1
2015,6,23,22,25,13,0,3,1
2015,6,30,34,20,31,3,0,0
2015,6,26,29,23,27,0,2,0
2015,6,9,24,27,20,0,1,1
2015,6,25,33,25,20,0,2,1
2015,6,11,17,27,34,0,1,0
2015,6,21,19,27,7,4,3,1
2015,7,25,26,3,20,0,2,0
2015,7,30,2,34,31,1,4,1
2015,7,8,16,19,28,0,1,0
2015,7,10,1,7,10,2,2,0
2015,7,11,18,21,27,3,1,0
2015,7,12,23,23,13,0,3,1
2015,7,14,5,24,6,1,4,1
2015,7,15,34,44,26,1,1,1
2015,7,17,20,30,23,0,1,1
2015,7,28,27,31,30,1,1,1
2015,7,24,13,29,37,2,0,0
2015,7,19,6,27,20,0,4,1
2015,7,29,21,27,16,3,1,1
2015,7,22,33,26,18,0,2,1
2015,8,17,15,36,7,0,2,1
2015,8,12,8,45,10,0,2,1
2015,8,1,27,20,23,4,0,0
2015,8,3,16,20,23,0,1,0
2015,8,5,22,20,34,2,4,0
2015,8,14,25,27,6,1,0,1
2015,8,18,19,52,49,2,1,1
2015,8,23,4,10,16,3,2,0
2015,8,33,24,29,26,0,0,1
2015,8,34,10,20,6,0,3,1
2015,8,13,20,34,20,0,1,1
2015,8,6,26,12,13,0,1,0
2015,8,7,9,29,10,1,0,1
2015,8,29,11,29,26,3,4,1
2015,9,4,5,31,10,0,0,1
2015,9,2,15,33,17,0,1,1
2015,9,16,14,21,18,1,0,1
2015,9,17,28,27,10,2,2,1
2015,9,18,10,28,34,2,1,0
2015,9,20,30,28,23,0,4,1
2015,9,23,13,38,35,2,4,1
2015,9,29,9,37,29,1,2,1
2015,9,25,1,17,16,2,0,1
2015,9,27,19,18,32,3,2,0
2015,9,11,7,27,24,0,2,1
2015,9,6,21,27,33,1,0,0
2015,9,24,3,19,22,1,2,0
2015,10,20,2,17,22,4,0,0
2015,10,9,8,16,18,0,1,0
2015,10,10,29,10,27,2,0,0
2015,10,14,3,13,37,2,2,0
2015,10,21,15,19,20,1,0,0
2015,10,23,5,30,9,2,3,1
2015,10,27,6,10,6,2,1,1
2015,10,28,18,47,14,0,2,1
2015,10,33,30,20,22,4,1,0
2015,10,13,16,14,30,2,0,0
2015,10,7,12,13,29,5,0,0
2015,10,19,17,26,27,1,2,0
2015,10,26,22,32,39,1,3,0
2015,10,4,34,6,10,2,1,0
2015,11,30,10,19,13,2,1,1
2015,11,1,11,21,24,4,3,0
2015,11,3,7,15,17,2,0,0
2015,11,8,13,18,13,0,0,1
2015,11,15,6,14,24,1,2,0
2015,11,21,27,17,45,4,1,0
2015,11,29,28,44,16,0,5,1
2015,11,33,14,16,13,2,4,1
2015,11,34,20,24,17,1,2,1
2015,11,24,12,3,33,2,0,0
2015,11,16,9,13,30,1,0,0
2015,11,26,25,29,13,0,0,1
2015,11,22,4,34,31,2,1,1
2015,11,17,2,20,13,1,1,1
2015,12,8,21,45,14,0,1,1
2015,12,6,29,14,33,3,0,0
2015,12,9,3,13,17,2,0,0
2015,12,1,16,10,20,3,1,0
2015,12,4,14,31,7,1,3,1
2015,12,10,13,21,24,2,2,0
2015,12,11,27,25,12,0,1,1
2015,12,12,2,30,22,0,2,1
2015,12,20,15,38,20,0,2,1
2015,12,28,19,20,14,0,3,1
2015,12,30,24,25,31,1,0,0
2015,12,34,18,24,6,1,1,1
2015,12,25,22,13,19,2,0,0
2015,12,26,23,39,30,0,4,1
2015,12,7,17,30,24,1,1,1
2015,12,5,33,27,33,0,2,0
2015,13,8,9,23,27,1,1,0
2015,13,2,34,30,21,0,1,1
2015,13,3,25,20,26,1,0,0
2015,13,5,4,3,37,2,0,0
2015,13,10,30,42,39,2,1,1
2015,13,14,22,3,27,1,0,0
2015,13,15,33,15,13,1,2,1
2015,13,16,26,7,38,1,1,0
2015,13,19,20,20,23,1,1,0
2015,13,27,1,23,19,2,1,1
2015,13,13,12,20,34,3,2,0
2015,13,24,7,3,17,3,1,0
2015,13,17,21,28,35,2,1,0
2015,13,18,29,38,41,1,3,0
2015,13,23,11,45,10,2,3,1
2015,13,28,6,16,19,1,3,0
2015,14,22,16,23,20,0,3,1
2015,14,3,28,21,24,1,1,0
